hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,reservation_status
City Hotel,0,2017,May,5,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,April,7,0,1,1,0,0,BB,GBR,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,June,17,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,August,16,0,3,2,0,0,SC,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,August,21,1,2,2,1,0,BB,FRA,TA/TO,0,0,0,G,G,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,May,22,3,7,2,0,0,BB,GBR,TA/TO,1,0,1,D,D,No Deposit,0,Contract,0,Check-Out
City Hotel,1,2015,August,22,2,1,2,0,0,HB,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,0,2017,May,15,1,2,1,0,0,BB,PRT,Direct,0,0,0,G,G,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,December,10,0,2,1,0,0,HB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2015,October,28,0,3,2,0,0,BB,ISR,TA/TO,0,0,0,A,D,No Deposit,58,Transient-Party,0,Check-Out
Resort Hotel,0,2015,September,28,1,1,1,0,0,BB,IND,Corporate,0,1,4,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,August,1,0,5,2,1,1,BB,PRT,TA/TO,0,0,0,G,G,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,February,15,1,3,2,0,0,BB,GBR,TA/TO,0,0,0,B,B,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,July,1,1,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,December,12,1,0,1,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,August,2,0,1,2,0,0,HB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,March,25,2,2,2,0,0,BB,FRA,TA/TO,0,0,0,E,E,No Deposit,0,Transient,1,Check-Out
City Hotel,1,2017,August,28,1,5,2,0,0,BB,DEU,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,October,20,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2016,January,27,0,1,1,0,0,BB,IND,TA/TO,0,0,2,A,D,No Deposit,0,Group,0,Check-Out
City Hotel,1,2015,July,23,0,2,2,0,0,BB,PRT,TA/TO,0,1,0,A,A,No Deposit,0,Contract,0,Canceled
Resort Hotel,1,2016,December,30,1,2,1,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,0,2016,August,28,2,5,2,1,0,BB,AUT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,1,2016,November,5,2,5,2,0,0,BB,PRT,Direct,0,0,0,F,F,No Deposit,0,Transient,0,Canceled
City Hotel,1,2015,September,30,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2015,December,15,0,1,1,0,0,BB,IND,Corporate,0,2,3,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,May,18,0,2,2,0,0,BB,NLD,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,March,3,0,2,2,0,0,BB,PRT,Direct,0,0,0,A,A,No Deposit,0,Transient,1,Check-Out
Resort Hotel,1,2017,July,31,1,5,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2015,December,14,1,5,2,0,0,HB,ESP,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,15,0,2,2,0,0,HB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,January,24,4,10,2,0,0,BB,DNK,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,August,17,1,4,2,0,0,BB,ESP,Direct,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,March,16,2,4,2,0,0,BB,BRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,December,30,1,2,2,0,0,BB,BRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,October,10,1,3,2,0,0,BB,NLD,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,March,29,0,3,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,August,15,2,5,2,0,0,HB,PRT,TA/TO,0,0,0,E,E,No Deposit,0,Transient,1,Check-Out
City Hotel,1,2017,June,8,0,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,July,28,0,3,2,1,0,SC,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,June,10,2,3,3,1,0,BB,PRT,TA/TO,0,0,0,H,H,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,February,27,0,1,3,0,0,BB,PRT,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,January,2,0,1,2,0,0,HB,PRT,Direct,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2017,July,13,0,3,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,May,14,1,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,236,Transient-Party,0,Check-Out
City Hotel,0,2016,December,24,2,3,1,0,0,HB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,February,25,1,1,2,0,0,BB,CHN,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2015,November,7,0,1,2,0,0,BB,ESP,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,10,0,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2015,November,6,0,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,October,5,0,0,2,0,0,SC,PRT,TA/TO,1,0,0,A,K,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,May,1,1,2,2,0,0,BB,BEL,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,March,24,1,3,2,0,0,FB,PRT,Direct,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,April,25,1,5,3,0,0,BB,ESP,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,October,12,1,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Contract,0,Check-Out
Resort Hotel,0,2015,September,24,2,4,1,0,0,BB,IRL,TA/TO,0,0,0,A,C,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2015,November,5,0,1,1,0,0,BB,PRT,Corporate,1,0,2,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,May,12,1,2,2,0,0,SC,NLD,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2015,November,12,0,2,1,0,0,BB,PRT,Corporate,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,1,2015,October,16,0,2,1,0,0,HB,PRT,TA/TO,0,1,0,A,A,Non Refund,0,Transient-Party,0,Canceled
City Hotel,1,2016,October,15,2,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2016,February,11,1,3,1,0,0,BB,PRT,TA/TO,0,1,0,A,A,No Deposit,0,Contract,0,Canceled
City Hotel,0,2016,February,12,0,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,June,8,4,10,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Contract,0,Check-Out
City Hotel,0,2015,December,30,0,4,2,1,0,BB,PRT,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,April,9,1,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,1,2017,March,10,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,A,C,No Deposit,0,Transient,0,No-Show
Resort Hotel,0,2016,June,12,4,7,2,0,0,BB,GBR,TA/TO,0,0,0,A,F,No Deposit,0,Contract,0,Check-Out
City Hotel,1,2016,April,29,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2017,April,26,1,4,2,1,0,BB,NOR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,March,18,0,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,20,Transient,0,Canceled
Resort Hotel,0,2016,May,2,2,5,2,0,0,BB,IRL,TA/TO,0,0,0,A,C,No Deposit,0,Contract,0,Check-Out
City Hotel,1,2017,April,8,2,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2015,August,8,2,2,2,0,0,BB,PRT,TA/TO,0,1,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2015,August,1,4,9,2,1,0,HB,PRT,Direct,0,0,0,H,H,No Deposit,0,Transient,1,Check-Out
Resort Hotel,0,2016,April,7,0,3,2,0,0,HB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2015,August,19,0,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,October,16,0,2,1,0,0,HB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient-Party,0,Canceled
Resort Hotel,1,2016,December,30,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,September,8,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2016,September,12,1,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,May,12,2,3,2,0,0,SC,CN,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,March,25,2,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2016,July,14,3,8,2,0,0,HB,PRT,Direct,0,1,1,E,E,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2015,December,26,0,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,E,No Deposit,0,Transient,1,Check-Out
Resort Hotel,0,2016,October,4,0,2,2,0,0,BB,GBR,Direct,0,0,0,A,H,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2016,October,5,0,2,2,1,0,BB,ISR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,1,Check-Out
Resort Hotel,0,2016,December,5,1,2,3,0,0,Undefined,ESP,TA/TO,0,0,0,A,C,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2015,August,13,0,2,2,0,0,BB,PRT,TA/TO,1,1,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,0,2017,August,17,0,2,2,0,0,SC,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,May,5,2,5,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,March,25,1,2,2,0,0,SC,ISR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,November,6,2,2,1,0,0,BB,SVK,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,August,20,2,2,1,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,January,24,0,1,2,0,0,BB,AUT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,April,29,2,3,2,0,0,SC,POL,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2015,August,25,0,4,2,0,0,BB,PRT,TA/TO,0,1,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2017,June,4,2,1,2,0,0,BB,CN,Direct,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2015,July,5,1,0,1,0,0,BB,PRT,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,November,4,0,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2015,November,17,0,1,1,0,0,BB,AUT,Corporate,0,0,0,A,D,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,August,5,2,4,2,0,0,BB,CHE,TA/TO,0,0,0,E,F,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,February,19,0,1,2,0,0,BB,PRT,Corporate,0,1,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,1,2017,February,7,0,5,2,0,0,SC,AGO,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,March,18,0,2,2,2,0,BB,FRA,TA/TO,0,0,0,F,F,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,June,23,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,March,22,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,January,27,1,2,2,0,0,BB,GBR,Direct,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,October,5,1,3,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2017,May,7,2,0,2,0,0,BB,KOR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,April,11,1,3,2,0,0,HB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,1,Check-Out
City Hotel,1,2015,September,9,0,2,2,0,0,BB,PRT,TA/TO,0,1,0,A,A,Non Refund,0,Transient-Party,0,Canceled
City Hotel,1,2016,September,19,1,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,35,Transient,0,Canceled
City Hotel,1,2015,October,5,1,3,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2017,June,11,2,0,2,0,0,BB,ISR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2017,May,31,2,4,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,February,22,1,3,1,0,0,BB,CN,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,August,6,2,6,2,0,0,BB,FRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,April,22,0,1,2,0,0,BB,PRT,Direct,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,May,11,0,4,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,February,14,0,2,2,0,0,SC,CHE,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2015,July,25,2,1,2,0,0,HB,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2016,May,29,2,5,3,1,0,BB,IRL,TA/TO,0,0,0,H,H,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,September,21,1,4,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,March,20,1,0,1,0,0,BB,FRA,Direct,1,0,4,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,July,13,0,2,2,0,0,HB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2016,March,8,2,5,2,0,0,SC,BRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,April,14,0,3,2,0,0,BB,ARG,Direct,0,0,0,A,A,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2016,June,14,0,3,1,0,0,BB,PRT,Corporate,0,0,0,D,D,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2017,July,16,2,2,2,0,0,BB,CN,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,October,7,0,2,2,2,0,BB,GBR,TA/TO,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,March,4,2,5,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,June,3,2,5,2,0,0,BB,IRL,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2015,September,10,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,No Deposit,0,Contract,0,Canceled
City Hotel,0,2016,April,20,0,1,3,0,0,BB,DEU,Direct,0,0,0,A,B,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,November,17,0,2,2,0,0,HB,BEL,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,March,4,2,2,2,0,0,BB,BRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,February,9,1,3,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
